dataset	field	truth_overlap_candidate_count	truth_overlap_missing_or_unknown_count	truth_overlap_missing_or_unknown_fraction	truth_overlap_value_counts	nontruth_candidate_count	nontruth_missing_or_unknown_count	nontruth_missing_or_unknown_fraction	nontruth_value_counts	hard_filter_risk_note
H1-H6 positives + H7-H16 review	crosses_centromere	14	0	0.0	0=3; 1=11	100	0	0.0	0=19; 1=81	no_missing_on_truth_overlap_candidates
H1-H6 positives + H7-H16 review	crosses_par_boundary	14	0	0.0	0=12; 1=2	100	0	0.0	0=99; 1=1	no_missing_on_truth_overlap_candidates
H1-H6 positives + H7-H16 review	whole_chromosome_fraction	14	0	0.0	0.0116279069767441=1; 0.0612244897959183=1; 0.3313953488372093=1; 0.3525641025641026=2; 0.3626373626373626=1; 0.4835164835164835=1; 0.5510204081632653=2; 0.5961538461538461=1; 0.6025641025641025=1; 0.6046511627906976=1; 0.7572815533980582=1; 0.8103448275862069=1	100	0	0.0	0.0125=1; 0.01875=1; 0.0476190476190476=1; 0.0497237569060773=1; 0.0552486187845303=1; 0.0603015075376884=1; 0.08125=1; 0.0897435897435897=1; 0.0915492957746478=1; 0.1=1; 0.1166666666666666=2; 0.1219512195121951=1; 0.1666666666666666=2; 0.168=1; 0.176=2; 0.2=1; 0.236=1; 0.2439024390243902=5; 0.2486187845303867=1; 0.26=1; 0.2676056338028169=1; 0.2720588235294117=2; 0.2857142857142857=1; 0.3205128205128205=1; 0.3296703296703296=1; 0.35=4; 0.3516483516483517=3; 0.3529411764705882=2; 0.35625=1; 0.360655737704918=1; 0.3626373626373626=1; 0.3888888888888889=1; 0.390625=1; 0.4186046511627907=1; 0.4422110552763819=1; 0.4835164835164835=5; 0.5=6; 0.51875=1; 0.5226130653266332=1; 0.5333333333333333=6; 0.5510204081632653=1; 0.5862068965517241=1; 0.5882352941176471=1; 0.6=1; 0.60625=1; 0.6065573770491803=1; 0.627906976744186=3; 0.6346153846153846=5; 0.6462585034013606=1; 0.6685082872928176=1; 0.673469387755102=1; 0.6740331491712708=1; 0.6829268292682927=5; 0.7237569060773481=1; 0.7239583333333334=5; 0.7572815533980582=1; 0.759493670886076=1; 0.7777777777777778=1	no_missing_on_truth_overlap_candidates
H1-H6 positives + H7-H16 review	cnvpro_large_segment_tier	14	0	0.0	large_ge10mb=12; reportable_ge2mb=1; review_ge1mb=1	100	0	0.0	large_ge10mb=90; large_ge4mb=8; reportable_ge2mb=1; review_ge1mb=1	no_missing_on_truth_overlap_candidates
H1-H6 positives + H7-H16 review	waviness	14	0	0.0	0.037724357954391=3; 0.0402370138114822=1; 0.0422588635681825=2; 0.048622230581909=3; 0.0578422122530537=2; 0.0675484067845378=3	100	0	0.0	0.037724357954391=28; 0.0402370138114822=16; 0.0422588635681825=7; 0.048622230581909=14; 0.0578422122530537=19; 0.0675484067845378=16	no_missing_on_truth_overlap_candidates
H1-H6 positives + H7-H16 review	sample_noise_status	14	0	0.0	OK=14	100	0	0.0	OK=100	no_missing_on_truth_overlap_candidates
H1-H6 positives + H7-H16 review	cnvpro_like_evidence_status	14	0	0.0	SHADOW_EVIDENCE_ONLY=14	100	0	0.0	SHADOW_EVIDENCE_ONLY=100	no_missing_on_truth_overlap_candidates
Y1-Y8 locked positives	cnvpro_like_gc_rc_background_status	13	0	0.0	GC_RC_AVAILABLE=13	130	0	0.0	GC_RC_AVAILABLE=130	no_missing_on_truth_overlap_candidates
Y1-Y8 locked positives	dynamic_reference_status	13	0	0.0	OK=13	130	0	0.0	OK=130	no_missing_on_truth_overlap_candidates
Y1-Y8 locked positives	matched_negative_source	13	13	1.0	UNKNOWN_BACKGROUND=13	130	130	1.0	UNKNOWN_BACKGROUND=130	risky_if_used_as_hard_filter
Y1-Y8 locked positives	matched_negative_percentile	13	13	1.0	NA=13	130	130	1.0	NA=130	risky_if_used_as_hard_filter
Y1-Y8 locked positives	copy_number_estimate	13	0	0.0	-0.028=1; 0.0456=1; 0.1614=1; 0.3714957440509734=1; 0.3741454514125617=1; 0.5389999999999999=1; 1.886=1; 2.414=1; 3.0012=1; 3.0568=1; 3.0894=1; 3.1158=1; 3.1658=1	130	0	0.0	0.0913999999999999=1; 1.6224=1; 1.8382=1; 1.8468=1; 1.8956=1; 1.8964=1; 1.9=1; 1.913=1; 1.915=1; 1.917=1; 1.9192=1; 1.9346=1; 1.9364=1; 1.9426=1; 1.943=1; 1.9438=1; 1.9512=1; 1.9526=1; 1.9542=1; 1.9544=1; 1.955=1; 1.9574=1; 1.9578=1; 1.9586=1; 1.966=1; 2.0312=1; 2.0334=1; 2.0458=1; 2.0474=1; 2.0484=1; 2.0514=1; 2.0536=1; 2.0588=1; 2.0602=1; 2.061=1; 2.0612=1; 2.0628=1; 2.063=1; 2.0702=1; 2.0708=1; 2.0712=1; 2.0714=1; 2.075=1; 2.0766=1; 2.0776=1; 2.0782=1; 2.0798=1; 2.083=1; 2.0852=1; 2.087=1; 2.0878=1; 2.0908=2; 2.094=1; 2.0944=1; 2.0968=1; 2.0982=1; 2.0992=1; 2.1048=1; 2.1056=1; 2.1074=1; 2.1092=1; 2.1112=1; 2.117=1; 2.1178=1; 2.1216=1; 2.125=1; 2.1276=1; 2.1322=1; 2.1362=1; 2.137=1; 2.145=1; 2.1452=1; 2.1454=1; 2.1514=1; 2.154=1; 2.1596=1; 2.1616=1; 2.1622=1; 2.1624=1; 2.1628=1; 2.1776=1; 2.179=1; 2.1792=1; 2.1824=1; 2.1848=1; 2.1858=1; 2.1894=1; 2.1900727235123965=1; 2.1918=1; 2.196=1; 2.2=1; 2.2082=1; 2.2112=1; 2.225=1; 2.2268=1; 2.2274=1; 2.2384=1; 2.2478=1; 2.249=1; 2.2554=1; 2.2672=1; 2.2674=1; 2.2678=1; 2.2762=1; 2.2776=1; 2.2796=1; 2.2824=1; 2.308=1; 2.3114=1; 2.3206=1; 2.343=1; 2.3436=1; 2.3476=1; 2.376=1; 2.3824=1; 2.3882=1; 2.3916=1; 2.4014=1; 2.404=1; 2.4272=1; 2.4406=1; 2.4566=1; 2.4628=1; 2.526=1; 2.609=1; 2.628=1; 3.0762=1; 3.1216=1; 3.1812=1	no_missing_on_truth_overlap_candidates
